hyperparams/learning_rate,hyperparams/seed,hyperparams/ent_coef,hyperparams/n_steps,hyperparams/gamma,hyperparams/clip_range,hyperparams/batch_size,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/learning_rate,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/value_loss,train/std,train/explained_variance,train/loss,train/n_updates
,,,,,,,15079,4098,1363.5495215300002,191.81,8392704,556,0.0003,0.009971593,0.2,-0.0035424101748503744,-17.84366092681885,0.199755859375,608.2791282653809,37.6097526550293,0.9430671259760857,390.6750793457031,40970
,,,,,,,15083,4099,1373.2299084999997,195.29,8394752,556,0.0003,0.010163651,0.2,-0.006306858384050429,-17.84838237762451,0.118212890625,170.35364809036255,37.75969696044922,0.9587474428117275,108.0144271850586,40980
,,,,,,,15086,4100,1361.76677432,195.29,8396800,556,0.0003,0.017633371,0.2,-0.004951249732403085,-17.850148248672486,0.139501953125,714.663966369629,37.82172775268555,0.7844037413597107,399.9455871582031,40990
,,,,,,,15090,4101,1367.2520158700002,196.75,8398848,556,0.0003,0.008279049,0.2,-0.00048187475185841323,-17.854582595825196,0.11513671875,606.7872859954834,37.786163330078125,0.8789209872484207,359.921875,41000
,,,,,,,15094,4102,1363.52133768,196.75,8400896,556,0.0003,0.020536993,0.2,-0.0013645190570969134,-17.858011770248414,0.174267578125,346.931111907959,37.88156509399414,0.8425453156232834,162.7762451171875,41010
,,,,,,,15097,4103,1350.0411258900003,196.75,8402944,556,0.0003,0.019231554,0.2,-1.1906027793884278e-06,-17.8675274848938,0.125390625,190.4986867904663,37.93705749511719,0.9600405693054199,97.56904602050781,41020
,,,,,,,15101,4104,1363.91357387,196.75,8404992,556,0.0003,0.022519179,0.2,0.004269469517748803,-17.870264339447022,0.3310546875,203.42522964477538,38.13569259643555,0.9632956273853779,102.35220336914062,41030
,,,,,,,15105,4105,1367.0074149299999,196.75,8407040,556,0.0003,0.017992515,0.2,-0.002434710180386901,-17.87609076499939,0.20625,166.2439447402954,38.12003707885742,0.9125207141041756,74.05231475830078,41040
,,,,,,,15108,4106,1370.08457891,196.75,8409088,556,0.0003,0.015351493,0.2,-0.004972231446299702,-17.874867486953736,0.159619140625,321.5391471862793,38.04085159301758,0.9196422249078751,149.21636962890625,41050
,,,,,,,15112,4107,1379.0077118100003,198.24,8411136,556,0.0003,0.010370862,0.2,-0.00021856475505046546,-17.878708410263062,0.210302734375,438.46806411743165,37.9579963684082,0.8172471970319748,198.03131103515625,41060
,,,,,,,15115,4108,1388.90561437,198.97,8413184,556,0.0003,0.020120632,0.2,-0.002684430236695334,-17.876918506622314,0.259130859375,164.49277620315553,38.06692886352539,0.44814884662628174,80.14836883544922,41070
,,,,,,,15119,4109,1389.7077599299994,198.97,8415232,556,0.0003,0.008074671,0.2,-0.0029567021585535256,-17.8702073097229,0.1017578125,551.9824214935303,38.16035842895508,0.8705616444349289,347.2576904296875,41080
,,,,,,,15123,4110,1390.43628934,198.97,8417280,556,0.0003,0.01398642,0.2,-0.0012575852568261325,-17.871989059448243,0.115576171875,410.7637706756592,38.165836334228516,0.9063589870929718,169.36065673828125,41090
,,,,,,,15126,4111,1397.4084129,198.97,8419328,556,0.0003,0.015254098,0.2,-0.0018943228293210267,-17.87895655632019,0.2873046875,163.91832704544066,38.04874038696289,0.7307069301605225,70.0308609008789,41100
,,,,,,,15130,4112,1408.66788604,198.83,8421376,556,0.0003,0.010413146,0.2,-0.0036115578375756742,-17.87913703918457,0.088818359375,485.6302833557129,38.175907135009766,0.701395183801651,173.0121307373047,41110
,,,,,,,15134,4113,1411.6271103099998,196.89,8423424,556,0.0003,0.012047142,0.2,-0.005618257005698979,-17.875067806243898,0.120361328125,435.6355632781982,38.22301483154297,0.8494832068681717,178.3541717529297,41120
,,,,,,,15137,4114,1414.5460559700002,196.89,8425472,556,0.0003,0.00836857,0.2,-0.007409150840248913,-17.87097520828247,0.10595703125,261.8320022583008,38.26114273071289,0.8464121520519257,114.29231262207031,41130
,,,,,,,15141,4115,1407.7026273599997,193.32,8427520,556,0.0003,0.018811539,0.2,-0.0034625959291588516,-17.87782163619995,0.13408203125,447.611157989502,38.20900344848633,0.46884363889694214,222.3740692138672,41140
,,,,,,,15145,4116,1403.17976761,193.32,8429568,556,0.0003,0.011547577,0.2,-0.002210086947889067,-17.886716270446776,0.190234375,682.9121917724609,38.16633987426758,0.6615769267082214,171.24383544921875,41150
,,,,,,,15148,4117,1402.4990880900002,194.35,8431616,556,0.0003,0.016786922,0.2,-0.0038696968113072217,-17.890217065811157,0.187158203125,276.8873468399048,38.270835876464844,0.8917726799845695,79.9033432006836,41160
,,,,,,,15152,4118,1406.6363561099997,192.65,8433664,556,0.0003,0.021876365,0.2,-0.0015084352111443878,-17.894203186035156,0.194287109375,156.39409828186035,38.28105545043945,0.9210180193185806,69.3287582397461,41170
,,,,,,,15156,4119,1390.9912309100002,191.6,8435712,556,0.0003,0.01033599,0.2,-0.0031742660328745844,-17.899544858932494,0.129052734375,1116.2010971069335,38.324195861816406,0.6974442303180695,514.575927734375,41180
,,,,,,,15160,4120,1378.20605667,191.26,8437760,556,0.0003,0.007740908,0.2,-0.00291731862234883,-17.901956701278685,0.15703125,1488.9258369445802,38.33218002319336,0.49163419008255005,255.52023315429688,41190
,,,,,,,15163,4121,1357.3290962199999,187.41,8439808,556,0.0003,0.010377975,0.2,-0.005794352715020068,-17.90141272544861,0.091259765625,308.97199592590334,38.36527633666992,0.9623740091919899,93.65226745605469,41200
,,,,,,,15167,4122,1365.5995840199998,188.34,8441856,556,0.0003,0.017159496,0.2,-0.002653438301058486,-17.902682638168336,0.137353515625,170.11695594787597,38.3311882019043,0.8646882772445679,32.016414642333984,41210
,,,,,,,15171,4123,1356.73012548,187.58,8443904,556,0.0003,0.015937053,0.2,0.0013839996594469995,-17.912241220474243,0.198046875,343.0210273742676,38.34076690673828,0.7468427419662476,141.18389892578125,41220
,,,,,,,15175,4124,1346.72217974,186.39,8445952,556,0.0003,0.0646032,0.2,0.011323389143217354,-17.929411840438842,0.2705078125,55.41041316986084,38.360652923583984,0.933632530272007,20.173465728759766,41230
